"date","close","volume","open","high","low"
"10:11","53.835","908,861","54.05","54.20","53.82"
"2017/08/24","53.8400","5461910.0000","53.9300","53.9700","53.4600"
"2017/08/23","53.6100","6408312.0000","53.9200","54.0800","53.4450"
"2017/08/22","54.1300","8212705.0000","53.9200","54.4100","53.7900"
"2017/08/21","53.6100","14275780.0000","54.4400","54.4400","53.1050"
"2017/08/18","54.9500","22863480.0000","54.8500","55.4200","54.1700"
"2017/08/17","57.4600","8912592.0000","58.5300","58.7445","57.4200"
"2017/08/16","58.5400","5489569.0000","58.9000","59.0500","58.2210"
"2017/08/15","58.5600","8912871.0000","58.9400","59.0100","58.2900"
"2017/08/14","59.7800","5899971.0000","59.1500","60.0000","59.1300"
"2017/08/11","58.9700","4979984.0000","58.7300","59.2700","58.5900"
"2017/08/10","59.0700","5584793.0000","59.6800","59.6900","59.0600"
"2017/08/09","59.9000","5310893.0000","59.4200","59.9650","59.2600"
"2017/08/08","59.4600","5582400.0000","59.8800","60.1200","59.3600"
"2017/08/07","59.7900","4066712.0000","59.8200","60.1000","59.7100"
"2017/08/04","59.7600","4105948.0000","60.1700","60.3400","59.6300"
"2017/08/03","60.1400","5677110.0000","59.8000","60.5300","59.6400"
"2017/08/02","59.7900","4132948.0000","59.5500","59.9500","59.2700"
"2017/08/01","59.8400","9028600.0000","59.0000","59.9400","58.9000"
"2017/07/31","59.0500","6224990.0000","58.7100","59.1200","58.3300"
"2017/07/28","58.6700","5112725.0000","58.1500","58.7350","57.9700"
"2017/07/27","58.1500","8103612.0000","58.6000","58.6800","57.9850"
"2017/07/26","58.3600","5522246.0000","59.0900","59.1300","58.3200"
"2017/07/25","59.3900","5146517.0000","59.3200","59.5200","58.9200"
"2017/07/24","58.9500","7497800.0000","59.6900","59.7701","58.7610"
"2017/07/21","59.9500","11048020.0000","59.0000","60.0000","58.9100"
"2017/07/20","59.1000","11905760.0000","59.1200","59.5900","58.8000"
"2017/07/19","57.7700","4434998.0000","57.6000","57.8750","57.3925"
"2017/07/18","57.6500","4916874.0000","57.7400","58.0800","57.4700"
"2017/07/17","57.7900","6878816.0000","58.0000","58.3500","57.7550"
"2017/07/14","58.0000","6344849.0000","57.9500","58.2100","57.6400"
"2017/07/13","57.9400","8107976.0000","58.2200","58.5800","57.9300"
"2017/07/12","58.2200","7239490.0000","58.3100","58.7500","58.1000"
"2017/07/11","58.1800","7222299.0000","58.5400","58.9300","58.0400"
"2017/07/10","58.7300","8942165.0000","57.8900","58.8100","57.6800"
"2017/07/07","57.9800","8026045.0000","57.4000","58.0800","57.0300"
"2017/07/06","57.1600","9035228.0000","57.4500","57.7200","57.0000"
