Date,Open,High,Low,Close,Volume
22-Aug-17,62.09,64.28,62.00,64.26,7387853
21-Aug-17,62.00,62.29,61.43,61.78,3425256
18-Aug-17,61.27,62.40,61.05,62.01,4415845
17-Aug-17,62.57,63.04,61.36,61.37,3430167
16-Aug-17,62.13,63.21,61.81,62.89,4509401
15-Aug-17,62.14,62.30,61.40,61.97,2982714
14-Aug-17,61.50,63.06,61.30,61.89,5131508
11-Aug-17,60.26,61.08,59.77,60.74,5571259
10-Aug-17,60.84,61.25,60.10,60.21,6912927
9-Aug-17,60.63,61.57,60.35,61.38,6023183
8-Aug-17,62.31,62.52,61.15,61.33,8668466
7-Aug-17,62.14,62.85,61.80,62.51,7287073
4-Aug-17,63.02,63.30,61.22,62.01,10545280
3-Aug-17,63.01,64.06,61.76,63.97,12368366
2-Aug-17,62.60,62.65,60.43,61.45,5559231
1-Aug-17,62.26,62.48,61.52,62.40,4484472
31-Jul-17,61.55,61.98,60.98,61.78,5009723
28-Jul-17,60.76,61.80,60.25,61.45,4285663
27-Jul-17,63.17,63.19,59.88,61.17,8111167
26-Jul-17,61.15,62.64,61.14,62.64,5162212
25-Jul-17,61.61,61.97,60.92,60.95,4688026
24-Jul-17,60.95,61.58,60.80,61.44,5815388
21-Jul-17,60.74,61.37,60.63,60.93,5803676
20-Jul-17,61.42,61.76,60.78,61.08,3594715
19-Jul-17,61.57,62.39,60.87,61.33,5464580
18-Jul-17,60.61,61.36,60.28,61.33,4631326
17-Jul-17,60.82,60.89,60.11,60.50,3287310
14-Jul-17,60.85,61.28,60.59,60.75,4551885
13-Jul-17,61.40,61.40,60.16,60.50,7216906
12-Jul-17,58.59,61.33,58.40,61.02,10107139
11-Jul-17,58.43,58.57,57.68,57.98,4498798
10-Jul-17,58.28,58.92,57.97,58.51,4690449
7-Jul-17,56.75,58.36,56.61,58.09,6223329
6-Jul-17,56.57,57.08,56.31,56.62,6628496
5-Jul-17,56.66,57.55,55.86,57.16,6107665
3-Jul-17,57.77,57.99,56.15,56.26,4136565
30-Jun-17,57.93,58.12,57.17,57.57,6358668
29-Jun-17,58.40,58.50,56.22,57.58,8881419
28-Jun-17,58.55,58.83,57.80,58.81,7829663
27-Jun-17,60.11,60.11,58.06,58.29,7195096
26-Jun-17,60.68,61.18,59.58,60.22,4319147
23-Jun-17,61.03,61.09,60.16,60.44,13794613
22-Jun-17,60.73,61.58,60.34,61.16,5402135
21-Jun-17,60.50,60.94,60.14,60.68,5385339
20-Jun-17,60.49,61.10,60.08,60.15,5876704
19-Jun-17,59.16,60.42,59.16,60.32,5140331
16-Jun-17,58.76,59.39,58.48,58.80,9273438
15-Jun-17,57.40,59.47,57.19,58.91,8690641
14-Jun-17,58.03,59.03,57.58,58.45,8272537
13-Jun-17,57.46,58.05,56.69,57.90,7157669
12-Jun-17,57.06,57.17,55.41,56.76,16120535
9-Jun-17,60.63,61.10,56.95,58.03,12887995
8-Jun-17,60.65,60.69,59.56,60.55,6513671
7-Jun-17,60.06,60.85,60.02,60.53,6441443
6-Jun-17,59.93,60.24,59.44,59.84,3923096
5-Jun-17,59.76,60.46,59.56,59.80,3818464
2-Jun-17,59.65,59.74,59.02,59.65,4950727
1-Jun-17,58.81,59.57,58.70,59.56,10169619
31-May-17,58.60,58.81,58.12,58.58,9548017
30-May-17,58.48,58.67,57.77,58.58,5037565
26-May-17,59.16,59.20,58.01,58.28,7019197
25-May-17,58.97,59.44,58.73,59.22,7899082
24-May-17,57.94,58.53,56.88,58.51,7288999
23-May-17,59.37,60.13,57.14,57.80,10327412
22-May-17,56.20,57.23,55.76,57.12,6976629
19-May-17,55.32,55.98,54.94,55.88,6032635
18-May-17,53.90,55.38,53.66,55.15,9242439
17-May-17,56.10,56.14,54.18,54.23,10298444
16-May-17,56.71,57.30,56.46,56.78,5304627
15-May-17,56.01,56.60,55.91,56.41,6882339
12-May-17,55.90,56.10,55.51,56.01,3793941
11-May-17,55.97,55.98,55.31,55.75,4864297
10-May-17,55.26,56.23,54.96,55.99,8243695
9-May-17,53.94,54.79,53.76,54.62,4718103
8-May-17,53.81,54.10,53.35,53.99,5184860
5-May-17,54.00,54.75,53.08,53.83,10514098
4-May-17,52.97,53.38,52.46,53.10,7891776
3-May-17,53.15,53.31,52.55,52.84,4775948
2-May-17,53.17,53.39,52.77,53.03,4662280
1-May-17,52.63,53.03,52.32,52.70,5212388
28-Apr-17,51.90,52.27,51.51,52.25,6311751
27-Apr-17,51.53,52.28,51.41,51.91,4145184
26-Apr-17,51.36,51.50,50.91,51.36,4502512
25-Apr-17,51.02,51.66,51.00,51.36,6042214
24-Apr-17,50.50,50.91,50.36,50.88,3798185
21-Apr-17,49.99,50.04,49.58,49.87,3352030
20-Apr-17,49.64,50.06,49.40,49.95,3965322
19-Apr-17,49.21,49.66,49.17,49.35,3216774
18-Apr-17,48.62,49.36,48.51,49.17,3751327
17-Apr-17,48.56,49.26,48.50,48.80,5390589
13-Apr-17,48.71,49.19,48.41,48.42,3906306
12-Apr-17,48.91,49.02,48.44,48.64,3634926
11-Apr-17,48.90,49.14,48.62,49.08,3558930
10-Apr-17,49.50,49.64,48.87,49.04,4273297
7-Apr-17,49.30,49.72,49.22,49.61,4050379
6-Apr-17,49.19,49.39,48.95,49.36,3412127
5-Apr-17,49.19,49.75,48.86,49.20,4606867
4-Apr-17,49.37,49.50,48.88,49.04,5724924
3-Apr-17,49.86,50.07,49.25,49.53,4992237
31-Mar-17,50.02,50.09,49.61,49.86,6801699
30-Mar-17,50.12,50.40,50.02,50.19,6779893
