Date,Open,High,Low,Close,Volume
22-Aug-17,72.66,73.76,72.65,73.34,4677286
21-Aug-17,72.08,72.96,72.08,72.60,5531782
18-Aug-17,72.32,72.63,71.84,72.11,6052601
17-Aug-17,73.09,73.41,72.28,72.34,9065427
16-Aug-17,73.19,73.77,73.12,73.35,5237298
15-Aug-17,73.00,73.38,72.73,73.12,5212091
14-Aug-17,72.87,73.12,72.56,72.81,4952756
11-Aug-17,72.52,72.68,71.82,72.40,7029745
10-Aug-17,73.52,73.78,72.53,72.70,8812963
9-Aug-17,72.83,74.68,72.83,73.90,12054582
8-Aug-17,73.42,73.67,72.81,73.27,7943896
7-Aug-17,72.80,73.50,72.28,73.44,7556523
4-Aug-17,73.73,73.76,72.58,73.16,14960878
3-Aug-17,75.77,76.00,74.30,74.37,11161061
2-Aug-17,75.54,75.90,75.17,75.84,7086183
1-Aug-17,76.35,76.36,75.52,75.70,7296609
31-Jul-17,76.00,76.49,75.83,76.09,7994072
28-Jul-17,75.01,76.03,74.75,75.94,8954646
27-Jul-17,75.43,75.99,74.45,74.96,13870979
26-Jul-17,74.10,74.27,73.62,74.19,10695344
25-Jul-17,74.72,75.29,73.62,73.74,9061164
24-Jul-17,73.70,74.42,73.19,74.39,8943242
21-Jul-17,73.32,74.41,73.28,73.76,8874021
20-Jul-17,72.86,73.74,72.77,73.42,9271390
19-Jul-17,72.00,72.74,71.77,72.72,8312410
18-Jul-17,71.30,71.73,70.72,71.69,6096667
17-Jul-17,70.58,71.86,70.40,71.15,7612423
14-Jul-17,70.74,71.03,70.42,70.57,5234624
13-Jul-17,69.99,70.98,69.52,70.58,7533925
12-Jul-17,69.77,70.13,69.60,69.80,5585245
11-Jul-17,68.99,69.50,68.61,69.35,6442685
10-Jul-17,69.24,69.74,69.12,69.29,6485909
7-Jul-17,69.69,69.69,68.54,69.25,6535797
6-Jul-17,70.66,70.74,69.19,69.48,7989034
5-Jul-17,70.83,71.28,70.16,70.86,7219556
3-Jul-17,71.11,71.60,70.56,70.70,3453349
30-Jun-17,71.56,71.64,70.32,70.78,6727125
29-Jun-17,72.00,72.17,70.02,70.86,11437399
28-Jun-17,70.97,72.09,70.83,71.92,10606185
27-Jun-17,71.40,71.90,70.64,70.65,10768678
26-Jun-17,71.25,71.76,70.72,71.24,14129108
23-Jun-17,71.24,71.37,69.84,70.52,22911223
22-Jun-17,68.32,71.44,68.29,70.48,28962895
21-Jun-17,65.82,67.69,65.61,67.50,13981339
20-Jun-17,64.89,66.00,64.02,65.59,13114602
19-Jun-17,64.23,64.98,64.08,64.82,7900091
16-Jun-17,64.79,64.84,63.76,64.12,10246580
15-Jun-17,64.71,65.16,64.10,64.81,6858063
14-Jun-17,64.92,65.36,64.54,64.99,6795699
13-Jun-17,65.61,65.65,65.01,65.15,8185266
12-Jun-17,64.60,66.70,64.55,65.43,10459196
9-Jun-17,64.11,64.94,63.95,64.70,9338911
8-Jun-17,64.16,64.58,64.06,64.12,8744915
7-Jun-17,65.03,65.17,64.20,64.32,7790401
6-Jun-17,65.19,65.38,64.64,64.85,7282818
5-Jun-17,65.59,65.79,65.04,65.48,6184771
2-Jun-17,64.90,65.55,64.76,65.40,6459346
1-Jun-17,65.01,65.71,64.51,64.62,9316328
31-May-17,64.47,64.92,64.18,64.89,9190184
