Date,Open,High,Low,Close,Volume
22-Aug-17,29.85,30.54,29.77,30.45,18779635
21-Aug-17,30.53,30.60,29.28,29.56,26247654
18-Aug-17,29.96,30.60,29.76,30.38,31178131
17-Aug-17,30.32,30.53,29.61,29.62,26152486
16-Aug-17,30.02,30.86,29.96,30.69,37879476
15-Aug-17,29.50,29.80,29.14,29.68,23973633
14-Aug-17,28.82,29.36,28.72,29.24,25254587
11-Aug-17,27.44,28.04,26.85,28.01,23375939
10-Aug-17,28.30,28.38,27.43,27.49,26147550
9-Aug-17,28.51,28.89,28.36,28.58,14181838
8-Aug-17,28.61,29.34,28.61,28.84,21903344
7-Aug-17,27.93,28.60,27.80,28.59,16589271
4-Aug-17,27.86,28.30,27.27,27.92,23947545
3-Aug-17,28.39,28.40,27.61,27.83,30288415
2-Aug-17,28.96,29.43,28.22,28.63,27225990
1-Aug-17,28.22,28.94,27.83,28.34,28221633
31-Jul-17,29.43,29.55,27.87,28.12,41112692
28-Jul-17,29.96,29.98,28.96,29.28,31854933
27-Jul-17,30.27,31.30,29.66,30.24,38966958
26-Jul-17,29.85,30.05,29.68,29.81,26387364
25-Jul-17,30.80,30.83,29.65,29.90,51216365
24-Jul-17,32.00,32.01,31.50,31.67,17415458
21-Jul-17,31.90,32.10,31.62,32.01,21146582
20-Jul-17,31.93,32.02,31.42,32.00,23179334
19-Jul-17,32.05,32.35,31.65,31.82,19984126
18-Jul-17,31.64,31.91,31.40,31.90,14044969
17-Jul-17,31.67,31.86,31.44,31.72,22320462
14-Jul-17,31.35,31.95,31.26,31.79,28887561
13-Jul-17,31.55,31.85,30.84,31.13,23772962
12-Jul-17,31.77,31.78,31.16,31.45,22258626
11-Jul-17,30.55,31.39,30.51,31.37,28530452
10-Jul-17,30.16,30.59,29.75,30.50,24907897
7-Jul-17,30.22,30.50,29.98,30.20,22023123
6-Jul-17,29.94,30.48,29.92,30.10,27143769
5-Jul-17,29.55,30.56,29.55,30.51,40444551
3-Jul-17,30.09,30.28,28.56,29.14,36830403
30-Jun-17,32.12,32.15,29.71,29.86,73308042
29-Jun-17,32.29,32.39,30.64,31.47,53948379
28-Jun-17,32.07,32.28,31.44,32.24,28415907
27-Jun-17,32.51,32.66,31.61,31.66,33221485
26-Jun-17,32.45,32.96,31.95,32.50,34750713
23-Jun-17,31.89,32.08,31.64,31.73,45323751
22-Jun-17,32.04,32.40,31.76,31.89,23050843
21-Jun-17,31.18,32.15,31.06,32.01,30578970
20-Jun-17,31.40,31.58,30.73,30.83,25793318
19-Jun-17,30.51,31.25,30.33,31.20,24914991
16-Jun-17,30.63,31.00,29.82,29.86,42881748
15-Jun-17,30.47,30.97,30.08,30.56,33670601
14-Jun-17,31.78,31.79,30.85,31.06,28934950
13-Jun-17,31.75,32.24,30.77,31.54,33767863
12-Jun-17,30.06,31.68,29.21,31.20,46550935
9-Jun-17,32.67,32.93,29.55,30.60,53064220
8-Jun-17,32.84,32.86,31.88,32.45,29156452
7-Jun-17,31.70,32.55,31.70,32.50,32635843
6-Jun-17,31.04,31.77,30.87,31.57,33125833
5-Jun-17,31.30,31.76,31.07,31.21,24360840
2-Jun-17,30.80,31.38,30.53,31.21,20206337
1-Jun-17,30.75,30.83,30.28,30.76,20534768
31-May-17,31.01,31.10,30.32,30.77,26402938
30-May-17,29.94,30.87,29.88,30.70,34689995
26-May-17,29.27,29.77,28.88,29.76,17784830
25-May-17,29.20,29.66,29.19,29.43,20714035
24-May-17,28.47,29.12,28.44,28.99,22353013
23-May-17,28.08,28.31,27.56,28.29,21800825
22-May-17,28.20,28.25,27.64,28.06,18032725
19-May-17,27.78,28.16,27.73,27.82,19173238
18-May-17,27.15,27.89,27.08,27.48,26862953
17-May-17,28.34,28.51,26.96,27.00,38027938
16-May-17,28.92,29.08,28.57,29.02,14940842
15-May-17,29.08,29.19,28.73,28.83,21899866
12-May-17,29.10,29.12,28.68,28.93,15902721
11-May-17,29.17,29.31,28.69,29.03,22494565
10-May-17,28.92,29.42,28.80,29.32,29267456
9-May-17,28.11,28.90,28.06,28.81,31073381
8-May-17,27.56,28.07,27.28,28.06,32326826
5-May-17,27.80,28.22,27.62,28.20,15639616
4-May-17,27.94,28.16,27.72,27.79,15544635
3-May-17,27.55,28.10,27.55,28.00,15061274
2-May-17,28.28,28.28,27.45,27.77,25335263
1-May-17,27.85,28.38,27.72,28.29,23937955
28-Apr-17,28.02,28.20,27.51,27.67,28105074
27-Apr-17,27.17,27.65,27.10,27.63,24626933
26-Apr-17,26.58,27.07,26.39,26.79,24670741
25-Apr-17,26.71,27.02,26.36,26.99,22881446
24-Apr-17,27.74,27.76,26.52,26.57,44041032
21-Apr-17,28.00,28.03,27.16,27.32,28361662
20-Apr-17,27.50,28.08,27.50,27.96,23632981
19-Apr-17,27.45,27.55,27.05,27.26,21231909
18-Apr-17,27.00,27.34,26.90,27.14,14407057
17-Apr-17,26.91,27.22,26.83,27.13,14108578
13-Apr-17,26.55,27.23,26.36,26.74,26077466
12-Apr-17,27.42,27.43,26.66,26.69,24621861
11-Apr-17,27.50,27.54,26.68,27.18,38619254
