Date,Open,High,Low,Close,Volume
22-Aug-17,53.49,54.74,53.39,54.45,14513194
21-Aug-17,53.14,53.52,52.80,53.15,12753196
18-Aug-17,52.92,53.08,52.58,52.70,10370499
17-Aug-17,53.32,53.78,52.99,53.04,7451679
16-Aug-17,53.26,53.92,53.25,53.50,7667081
15-Aug-17,53.41,53.42,52.89,53.15,6674597
14-Aug-17,53.60,53.60,53.18,53.22,7426467
11-Aug-17,53.05,53.40,53.05,53.18,9235033
10-Aug-17,53.52,53.75,52.99,53.07,13235301
9-Aug-17,54.43,54.43,53.30,53.74,16717719
8-Aug-17,55.55,55.58,54.36,54.52,11095259
7-Aug-17,55.60,55.93,55.42,55.63,7253947
4-Aug-17,55.97,56.05,55.09,55.44,9179779
3-Aug-17,55.64,56.12,55.50,55.68,13331459
2-Aug-17,54.75,55.45,54.67,55.43,14764854
1-Aug-17,54.57,54.79,53.97,54.73,18120912
31-Jul-17,54.48,54.68,53.95,53.98,20299407
28-Jul-17,55.23,55.96,53.41,54.00,53454789
27-Jul-17,58.25,59.66,57.93,59.50,23286716
26-Jul-17,58.80,58.84,57.78,57.94,8775889
25-Jul-17,58.22,58.84,57.98,58.55,7933137
24-Jul-17,58.00,58.25,57.93,58.02,7442589
21-Jul-17,57.92,58.26,57.83,57.98,6717235
20-Jul-17,58.41,58.84,58.00,58.03,10546701
19-Jul-17,58.15,58.41,57.90,58.11,8203557
18-Jul-17,58.12,58.58,57.69,58.21,7857464
17-Jul-17,58.73,58.87,58.28,58.33,6774471
14-Jul-17,58.40,58.92,58.28,58.76,5441377
13-Jul-17,58.80,58.87,58.12,58.38,8460245
12-Jul-17,58.21,58.71,58.02,58.54,7141916
11-Jul-17,57.91,58.08,57.53,57.90,5422330
10-Jul-17,58.18,58.35,57.75,57.81,4832094
7-Jul-17,57.79,58.36,57.54,58.04,7278250
6-Jul-17,57.80,57.92,57.40,57.60,8886648
5-Jul-17,58.43,58.50,57.80,57.94,7773566
3-Jul-17,58.90,58.99,58.25,58.25,4575268
30-Jun-17,58.68,58.95,58.29,58.31,8117066
29-Jun-17,59.17,59.18,57.96,58.36,7421177
28-Jun-17,59.06,59.25,58.80,59.18,5419169
27-Jun-17,59.54,59.69,58.81,58.96,5652429
26-Jun-17,60.02,60.15,59.33,59.64,5674637
23-Jun-17,59.76,60.17,59.58,59.81,6469495
22-Jun-17,60.09,60.10,59.40,59.51,5602002
21-Jun-17,60.00,60.31,59.71,59.96,6027647
20-Jun-17,60.98,61.00,59.70,59.86,6985666
19-Jun-17,60.35,61.00,60.11,60.90,6778024
16-Jun-17,59.89,60.16,59.47,60.14,11522438
15-Jun-17,59.92,60.28,59.51,60.09,7515980
14-Jun-17,60.67,60.82,59.86,60.27,9703332
13-Jun-17,61.12,61.26,60.59,60.92,9384906
12-Jun-17,61.80,61.99,60.63,61.29,11071593
9-Jun-17,62.37,62.48,61.87,62.19,11240487
8-Jun-17,63.44,63.58,62.02,62.24,11289266
7-Jun-17,64.13,64.30,63.34,63.50,8364994
6-Jun-17,64.22,64.35,64.05,64.16,5448439
5-Jun-17,64.85,64.87,64.18,64.27,6809284
2-Jun-17,63.88,64.68,63.70,64.57,7840374
1-Jun-17,63.51,63.82,63.35,63.75,6058263
31-May-17,63.27,63.61,63.08,63.61,7314634
30-May-17,63.07,63.41,63.01,63.26,7094586
26-May-17,63.01,63.42,62.97,63.30,6097990
25-May-17,62.01,63.11,61.90,62.90,8931804
24-May-17,61.40,62.00,60.94,61.89,7283789
23-May-17,61.40,61.50,60.86,61.15,5622524
22-May-17,61.03,61.72,61.03,61.23,6392124
19-May-17,59.94,61.92,59.94,61.36,12530995
18-May-17,59.73,59.94,58.87,59.82,8602411
17-May-17,59.97,60.32,59.55,59.73,7581230
16-May-17,60.68,60.70,59.88,59.98,6303480
15-May-17,60.42,60.49,60.12,60.45,5904094
12-May-17,60.28,60.34,59.83,59.93,5647531
11-May-17,60.45,60.51,60.03,60.27,5516893
10-May-17,60.88,60.98,60.21,60.66,7198414
9-May-17,60.58,61.08,60.57,60.98,5806562
8-May-17,61.07,61.07,60.70,60.94,5588371
5-May-17,60.95,60.99,60.58,60.95,6443309
4-May-17,60.65,60.85,60.39,60.83,6874286
3-May-17,60.52,60.66,60.26,60.59,7706367
2-May-17,60.15,60.52,60.04,60.50,9152088
1-May-17,60.00,60.60,59.76,60.18,10910341
28-Apr-17,59.41,60.18,58.99,60.06,25046130
27-Apr-17,61.63,61.94,61.19,61.30,15285342
26-Apr-17,61.23,61.75,60.98,61.56,8525419
25-Apr-17,60.65,61.21,59.92,60.96,11031475
24-Apr-17,61.00,61.38,60.89,61.11,10721276
21-Apr-17,60.20,60.69,60.15,60.61,8799985
20-Apr-17,59.71,60.34,59.56,60.08,12445862
19-Apr-17,58.60,59.49,58.50,59.04,12000639
18-Apr-17,57.59,58.48,57.59,58.35,5449699
17-Apr-17,57.68,58.25,57.68,58.08,5626042
13-Apr-17,57.61,57.79,57.45,57.51,4871717
12-Apr-17,57.88,57.90,57.48,57.58,5450298
11-Apr-17,57.74,58.16,57.38,57.88,5855091
10-Apr-17,58.00,58.21,57.73,57.95,5266312
7-Apr-17,57.80,58.25,57.55,58.02,6773752
6-Apr-17,58.13,58.36,57.73,57.92,9112533
5-Apr-17,57.96,59.27,57.81,58.22,13656221
4-Apr-17,58.37,58.41,58.01,58.32,6474781
3-Apr-17,58.28,58.47,57.89,58.44,8989831
31-Mar-17,58.10,58.66,58.06,58.39,9156707
30-Mar-17,57.45,58.30,57.42,58.16,8677916
29-Mar-17,57.17,57.85,57.13,57.54,7001635
28-Mar-17,57.10,57.52,57.02,57.35,8331644
27-Mar-17,56.66,57.45,56.46,57.23,8861799
24-Mar-17,56.11,57.38,55.90,56.81,15763000
23-Mar-17,56.15,56.42,55.78,55.85,7357207
22-Mar-17,55.68,56.04,55.51,55.89,8452070
21-Mar-17,56.05,56.45,55.48,55.54,8030642
20-Mar-17,55.87,56.05,55.51,55.81,7948425
17-Mar-17,55.04,56.13,54.95,55.78,15822141
16-Mar-17,54.85,54.98,54.66,54.80,8074278
15-Mar-17,54.39,54.65,54.09,54.54,8712006
14-Mar-17,54.62,54.74,54.19,54.27,7892888
13-Mar-17,54.57,54.88,54.40,54.63,9090230
