Date,Open,High,Low,Close,Volume
22-Aug-17,94.91,95.58,94.66,95.47,225025
21-Aug-17,94.56,95.00,93.77,94.74,237664
18-Aug-17,94.50,95.24,94.10,94.66,638510
17-Aug-17,95.59,96.14,94.58,94.71,268894
16-Aug-17,96.74,97.22,95.39,95.95,371742
15-Aug-17,96.49,97.00,94.80,96.47,350897
14-Aug-17,95.98,97.33,95.42,96.51,411247
11-Aug-17,95.02,96.26,94.12,95.38,348279
10-Aug-17,95.70,96.43,95.34,95.41,303333
9-Aug-17,95.93,96.39,95.70,96.01,263593
8-Aug-17,97.26,97.26,95.79,96.18,370993
7-Aug-17,97.05,97.41,96.40,97.27,246876
4-Aug-17,96.01,97.10,95.98,96.94,293080
3-Aug-17,95.71,96.89,95.56,95.68,458443
2-Aug-17,94.06,96.06,94.00,95.68,640104
1-Aug-17,98.57,99.91,92.89,93.75,1203963
31-Jul-17,-,-,95.32,95.99,692694
28-Jul-17,94.75,95.70,94.63,95.66,270517
27-Jul-17,94.73,95.47,94.33,94.84,428708
26-Jul-17,96.08,96.21,94.40,94.49,354231
25-Jul-17,95.68,96.66,95.37,96.27,607339
24-Jul-17,93.48,95.24,93.34,95.13,436131
21-Jul-17,93.21,93.51,92.91,93.44,142766
20-Jul-17,94.00,94.16,92.24,93.17,335022
19-Jul-17,93.48,93.93,93.25,93.83,371353
18-Jul-17,93.00,93.46,92.53,93.40,237873
17-Jul-17,93.75,93.76,92.74,93.26,519601
14-Jul-17,93.40,93.85,93.13,93.29,286711
13-Jul-17,93.14,93.99,92.36,93.41,275051
12-Jul-17,92.35,93.73,92.29,93.05,496433
11-Jul-17,91.02,92.17,90.95,92.07,390838
10-Jul-17,91.69,92.10,90.96,91.03,467342
7-Jul-17,90.44,91.87,90.00,91.68,302690
6-Jul-17,90.01,90.91,89.60,90.35,412148
5-Jul-17,90.53,90.96,89.97,90.32,321801
3-Jul-17,89.88,91.40,89.81,90.53,280003
30-Jun-17,88.00,89.81,88.00,89.46,635645
29-Jun-17,87.57,87.74,86.50,87.48,858001
28-Jun-17,88.75,89.00,87.49,87.57,602740
27-Jun-17,90.22,90.22,88.27,88.35,330000
26-Jun-17,90.21,91.51,89.25,90.17,469585
23-Jun-17,88.28,90.86,88.00,90.13,584084
22-Jun-17,88.62,89.20,87.94,88.33,265842
21-Jun-17,89.11,89.86,88.14,88.61,280927
20-Jun-17,88.70,89.13,88.47,89.03,411880
19-Jun-17,87.78,89.25,87.52,88.94,470796
16-Jun-17,88.42,88.54,86.75,87.72,714808
15-Jun-17,87.10,88.61,86.84,88.42,509127
14-Jun-17,89.19,89.35,86.60,87.77,755797
13-Jun-17,81.59,89.86,81.48,89.83,2266005
12-Jun-17,83.37,84.72,83.32,83.86,422573
9-Jun-17,83.72,84.64,83.23,83.37,586292
8-Jun-17,84.42,84.49,82.85,83.56,640925
7-Jun-17,84.53,85.08,83.46,84.88,857891
6-Jun-17,86.12,86.33,83.31,84.37,1009218
5-Jun-17,87.64,87.91,86.17,86.33,475297
2-Jun-17,88.12,88.63,87.58,87.63,302504
1-Jun-17,86.95,88.01,86.40,88.01,434721
31-May-17,87.13,87.13,86.07,86.61,422541
30-May-17,88.04,88.05,86.38,86.58,847551
26-May-17,88.84,88.84,87.42,88.05,305077
25-May-17,87.96,89.02,87.69,88.83,392731
24-May-17,87.96,88.40,87.02,87.75,320557
23-May-17,88.36,88.93,87.13,88.40,390451
22-May-17,88.81,88.81,87.80,87.91,331842
