Date,Open,High,Low,Close,Volume
22-Aug-17,198.16,198.75,195.96,196.74,920067
21-Aug-17,198.17,198.49,196.94,198.12,702312
18-Aug-17,196.66,198.40,195.89,197.88,776053
17-Aug-17,198.64,199.29,196.94,197.08,780371
16-Aug-17,199.00,199.34,198.09,198.57,866417
15-Aug-17,197.18,198.77,196.16,198.70,775647
14-Aug-17,197.05,198.48,196.22,197.19,941309
11-Aug-17,195.00,197.71,194.98,195.65,897797
10-Aug-17,195.25,196.49,193.92,194.69,1036547
9-Aug-17,194.30,195.64,193.55,195.39,937292
8-Aug-17,195.04,196.32,193.84,194.68,878148
7-Aug-17,193.65,195.21,193.01,194.97,774042
4-Aug-17,193.23,194.45,192.10,193.82,744105
3-Aug-17,194.00,194.91,192.91,193.04,749676
2-Aug-17,195.10,195.28,191.71,193.51,1746772
1-Aug-17,194.22,196.31,194.08,194.75,1551125
31-Jul-17,-,-,192.86,193.35,1528320
28-Jul-17,194.78,195.89,194.11,194.59,807819
27-Jul-17,194.24,195.76,193.02,194.46,1627261
26-Jul-17,194.55,195.10,193.07,193.38,1636366
25-Jul-17,196.00,196.00,193.64,193.67,1487950
24-Jul-17,196.54,197.09,195.52,196.00,1285164
21-Jul-17,197.58,198.68,196.93,198.52,707862
20-Jul-17,198.53,199.89,197.00,198.12,1575833
19-Jul-17,197.51,198.37,196.00,198.30,986780
18-Jul-17,197.00,198.18,196.40,197.18,1541188
17-Jul-17,198.41,199.64,196.37,196.60,1817734
14-Jul-17,196.60,198.46,196.53,198.32,736197
13-Jul-17,197.55,197.62,195.54,196.25,956150
12-Jul-17,195.00,197.86,194.49,197.10,1591995
11-Jul-17,193.65,194.08,192.50,193.89,873269
10-Jul-17,194.12,194.96,192.90,193.82,914321
7-Jul-17,194.29,194.51,192.86,193.52,723504
6-Jul-17,192.89,194.59,192.60,193.76,1187001
5-Jul-17,191.41,194.81,191.06,193.92,1450460
3-Jul-17,194.14,194.58,191.68,191.73,969084
30-Jun-17,194.63,196.67,193.03,193.73,3097488
29-Jun-17,197.33,197.41,192.06,192.79,6167244
28-Jun-17,183.23,184.71,181.90,183.68,2145517
27-Jun-17,181.31,182.71,180.46,182.28,1302179
26-Jun-17,184.97,185.00,182.34,182.47,1187451
23-Jun-17,184.17,185.77,183.54,184.57,1099954
22-Jun-17,184.49,185.19,183.40,184.11,853177
21-Jun-17,184.40,185.21,183.35,184.50,926786
20-Jun-17,183.73,185.43,183.69,184.55,1052437
19-Jun-17,180.89,183.71,180.13,183.28,1174060
16-Jun-17,180.33,181.29,179.50,180.88,1108827
15-Jun-17,179.22,180.78,178.57,180.30,785731
14-Jun-17,180.82,181.37,179.50,179.90,1341013
13-Jun-17,179.52,179.90,178.47,179.55,1193595
12-Jun-17,180.82,181.18,176.21,179.14,1975137
9-Jun-17,183.82,184.40,180.95,181.00,1474163
8-Jun-17,183.98,184.31,181.76,183.45,1190238
7-Jun-17,185.01,185.94,183.01,184.54,1139672
6-Jun-17,184.51,186.55,184.26,185.83,1140433
