date,close,volume,open,high,low
2007-08-24,12.13,12583200,12.06,12.13,11.92
2007-08-27,11.98,14462540,12.08,12.25,11.95
2007-08-28,11.66,14791800,11.9,12.05,11.66
2007-08-29,12.3,24718800,11.76,12.32,11.73
2007-08-30,12.42,30283050,12.13,12.78,12.02
2007-08-31,13.0,27642900,12.72,13.04,12.56
2007-09-04,13.17,29007470,13.17,13.44,13.06
2007-09-05,12.9,18663500,13.15,13.23,12.75
2007-09-06,12.94,12501300,12.95,13.1,12.75
2007-09-07,12.61,13256500,12.75,12.81,12.55
2007-09-10,12.94,31978800,12.92,13.11,12.68
2007-09-11,12.97,20276550,13.06,13.09,12.86
2007-09-12,12.83,19093500,12.95,13.13,12.76
2007-09-13,12.73,14551360,12.91,12.92,12.65
2007-09-14,12.69,12684000,12.6,12.79,12.57
2007-09-17,12.84,14868760,12.85,12.96,12.7
2007-09-18,13.3,28626100,12.92,13.36,12.85
2007-09-19,13.1,28029780,13.41,13.53,13.01
2007-09-20,13.35,22608100,13.09,13.52,13.05
2007-09-21,13.24,15336800,13.43,13.48,13.19
2007-09-24,13.48,26931380,13.34,13.55,13.25
2007-09-25,13.81,20996100,13.4,13.9,13.34
2007-09-26,13.75,16222230,13.9,13.92,13.69
2007-09-27,13.28,28352220,13.76,13.77,13.22
2007-09-28,13.2,16135820,13.25,13.39,13.12
2007-10-01,13.23,18374300,13.25,13.45,13.15
2007-10-02,13.2,19151880,13.08,13.22,13.0
2007-10-03,13.23,31941180,12.97,13.29,12.8
2007-10-04,13.35,16104900,13.26,13.42,13.13
2007-10-05,13.63,21797660,13.41,13.9,13.37
2007-10-08,13.63,9863100,13.55,13.84,13.52
2007-10-09,13.79,15164400,13.67,13.82,13.5
2007-10-10,14.02,31967590,13.84,14.06,13.69
2007-10-11,13.8,28129500,14.1,14.23,13.62
2007-10-12,13.94,15871690,13.71,14.15,13.71
2007-10-15,13.98,13314000,13.9,14.06,13.81
2007-10-16,13.96,19900500,13.9,14.24,13.84
2007-10-17,14.11,23022420,14.37,14.47,13.98
2007-10-18,14.55,43764600,14.02,14.73,13.95
2007-10-19,13.8,45683200,14.49,14.5,13.62
2007-10-22,13.75,17900700,13.6,13.9,13.5
2007-10-23,13.73,14938900,13.83,13.85,13.52
2007-10-24,13.12,28084280,13.5,13.58,12.9
2007-10-25,12.75,22447900,13.22,13.22,12.55
2007-10-26,12.89,12883330,12.94,13.09,12.76
2007-10-29,12.88,9567600,12.98,13.15,12.86
2007-10-30,13.0,10554100,12.9,13.15,12.9
2007-10-31,13.08,10160200,13.08,13.14,12.95
2007-11-01,12.8,13236900,12.99,13.04,12.75
2007-11-02,13.17,14306140,12.96,13.22,12.68
2007-11-05,13.42,21879210,13.06,13.56,12.96
2007-11-06,13.43,18324030,13.45,13.8,13.34
2007-11-07,13.01,18289310,13.14,13.45,13.0
2007-11-08,12.51,28898070,13.04,13.39,12.05
2007-11-09,12.37,17228590,12.18,12.65,12.08
2007-11-12,11.95,17278940,12.32,12.43,11.92
2007-11-13,12.4,14464460,12.11,12.45,12.01
2007-11-14,12.28,16326500,12.45,12.57,12.22
2007-11-15,12.7,22405320,12.24,12.92,12.16
2007-11-16,12.64,28139740,12.89,13.27,12.35
2007-11-19,12.07,18315500,12.54,12.61,12.03
2007-11-20,11.28,43016080,12.17,12.25,11.18
2007-11-21,10.83,34575660,11.15,11.5,10.52
2007-11-23,10.78,10339720,11.0,11.02,10.6
2007-11-26,10.27,26667650,10.83,10.92,10.21
2007-11-27,10.15,37823760,10.35,10.36,9.8
2007-11-28,10.35,15003830,10.24,10.49,10.15
2007-11-29,10.14,50738140,10.34,10.39,10.0
2007-11-30,9.76,35610820,10.24,10.3,9.65
2007-12-03,9.66,23743740,9.82,9.9,9.62
2007-12-04,9.25,28679120,9.6,9.64,9.22
2007-12-05,8.91,70353670,9.27,9.49,8.83
2007-12-06,9.07,30085070,8.95,9.13,8.86
2007-12-07,9.05,27061740,9.08,9.08,8.79
2007-12-10,9.18,23858180,9.12,9.34,9.05
2007-12-11,9.07,39698020,9.26,9.53,9.04
2007-12-12,8.97,39022980,9.24,9.39,8.83
2007-12-13,8.84,45748200,8.91,9.01,8.42
2007-12-14,8.43,26723780,8.85,8.85,8.42
2007-12-17,7.95,29856660,8.4,8.42,7.93
2007-12-18,7.68,39253430,8.07,8.1,7.62
2007-12-19,7.98,45774180,7.7,8.04,7.54
2007-12-20,7.97,25319950,8.1,8.11,7.9107
2007-12-21,7.79,26835510,8.04,8.05,7.66
2007-12-24,7.77,9193119,7.78,7.88,7.68
2007-12-26,7.77,12430800,7.81,7.88,7.68
2007-12-27,7.53,16467570,7.74,7.78,7.51
2007-12-28,7.32,18327330,7.55,7.58,7.3
2007-12-31,7.5,19625870,7.26,7.6,7.26
2008-01-02,7.14,46043930,7.4,7.4,7.02
2008-01-03,6.77,34770510,7.15,7.18,6.75
2008-01-04,6.25,51461920,6.64,6.64,6.1
2008-01-07,6.08,32100090,6.37,6.41,6.02
2008-01-08,6.0,37259020,6.18,6.38,5.97
2008-01-09,5.53,50973700,6.06,6.06,5.31
2008-01-10,5.96,55601370,5.52,6.0,5.42
2008-01-11,6.25,41430930,6.07,6.44,6.02
2008-01-14,6.41,30005580,6.48,6.54,6.25
2008-01-15,6.12,30296160,6.28,6.35,6.01
2008-01-16,6.57,52423190,5.89,6.91,5.8
2008-01-17,6.34,40261100,6.7,6.92,6.22
2008-01-18,7.07,60439780,6.85,7.15,6.8
2008-01-22,6.8301,28498240,6.57,7.09,6.57
2008-01-23,7.56,45986830,6.65,7.59,6.6
2008-01-24,7.58,33568660,7.73,7.79,7.43
2008-01-25,7.15,29971030,7.66,7.78,7.07
2008-01-28,7.46,20426400,7.1,7.49,6.98
2008-01-29,7.61,20648620,7.49,7.65,7.25
2008-01-30,7.6099,21501840,7.6,7.75,7.45
2008-01-31,7.59,21174860,7.5,7.69,7.38
2008-02-01,8.0,26264190,7.78,8.03,7.6
2008-02-04,7.92,16687870,8.07,8.08,7.8
2008-02-05,7.21,28496070,7.77,7.86,7.21
2008-02-06,6.74,29721370,7.38,7.38,6.68
2008-02-07,6.59,36179980,6.64,6.76,6.43
2008-02-08,6.34,30750920,6.58,6.63,6.22
2008-02-11,6.28,23918860,6.36,6.42,6.23
2008-02-12,6.41,25252760,6.4,6.61,6.31
2008-02-13,6.7,21777630,6.49,6.72,6.47
2008-02-14,6.53,20939980,6.78,6.93,6.52
2008-02-15,6.45,14206130,6.53,6.61,6.36
2008-02-19,6.5,16202460,6.64,6.74,6.49
2008-02-20,6.83,22680670,6.5,6.96,6.5
2008-02-21,6.96,26342930,6.88,7.18,6.88
2008-02-22,6.71,26496260,7.03,7.03,6.45
2008-02-25,6.97,17629720,6.64,6.99,6.64
2008-02-26,7.13,21404240,6.95,7.19,6.86
2008-02-27,7.28,19429860,7.05,7.48,6.97
2008-02-28,7.02,17265740,7.17,7.25,6.91
2008-02-29,7.21,27369540,6.98,7.34,6.97
2008-03-03,6.76,33100720,7.21,7.21,6.63
2008-03-04,6.76,31529560,6.66,6.78,6.38
2008-03-05,6.84,22641760,6.85,7.04,6.75
2008-03-06,6.49,21403030,6.85,6.85,6.45
