date,close,volume,open,high,low
2007-08-24,51.87,18412100,51.88,51.99,51.37
2007-08-27,50.87,24524700,51.77,51.77,50.76
2007-08-28,49.66,30391900,50.76,50.76,49.65
2007-08-29,50.55,25673200,50.01,50.6,49.6
2007-08-30,50.21,18837500,50.14,50.59,50.0
2007-08-31,50.68,22515000,51.32,51.34,50.53
2007-09-04,51.08,24194460,50.62,51.25,50.51
2007-09-05,49.95,27359500,50.26,50.26,49.6
2007-09-06,49.79,20653000,50.05,50.07,49.49
2007-09-07,49.02,32744700,49.17,49.72,48.75
2007-09-10,48.96,20652400,49.21,49.5,48.6
2007-09-11,49.45,20993040,49.23,49.79,49.05
2007-09-12,49.39,16901020,49.37,49.49,49.12
2007-09-13,49.86,23428970,49.56,50.24,49.56
2007-09-14,49.95,18483090,49.66,50.1,49.6
2007-09-17,49.51,19115040,49.84,50.26,49.37
2007-09-18,51.21,33428470,49.7,51.3,49.42
2007-09-19,51.07,34201650,51.45,51.93,50.68
2007-09-20,50.79,19961490,51.09,51.4,50.52
2007-09-21,51.24,26314400,51.28,51.46,50.65
2007-09-24,50.59,20674400,51.24,51.25,50.5
2007-09-25,50.22,20694840,50.1,50.58,49.92
2007-09-26,50.41,21086800,50.31,50.69,49.94
2007-09-27,50.6,12828450,50.51,50.65,50.1
2007-09-28,50.27,14708800,50.66,50.66,50.11
2007-10-01,50.64,22155790,50.04,50.67,49.76
2007-10-02,51.72,26546100,51.0,51.87,50.95
2007-10-03,51.93,16376060,51.45,52.03,51.38
2007-10-04,52.4,16567900,52.04,52.49,52.0
2007-10-05,52.71,16588600,52.55,52.94,52.51
2007-10-08,52.43,10832300,52.65,52.65,52.25
2007-10-09,52.57,14764200,52.64,52.65,52.07
2007-10-10,52.3,15363590,52.2,52.48,51.98
2007-10-11,52.42,18517690,52.5,52.96,52.12
2007-10-12,52.07,14641560,52.48,52.57,51.99
2007-10-15,51.42,20823850,52.0,52.07,50.98
2007-10-16,50.2,27404440,51.0,51.15,49.97
2007-10-17,50.03,28342320,50.72,50.77,49.47
2007-10-18,48.85,49022500,48.44,48.98,47.76
2007-10-19,47.57,35652580,48.63,48.8,47.54
2007-10-22,47.78,25526420,47.45,48.15,47.0
2007-10-23,47.78,20008960,48.3,48.3,47.24
2007-10-24,47.48,28018800,47.65,47.77,46.45
2007-10-25,47.0,34431540,47.3,47.84,46.45
2007-10-26,48.03,26594360,47.95,48.45,46.81
2007-10-29,47.98,17552960,48.32,48.44,47.67
2007-10-30,47.99,20258990,47.93,48.18,47.47
2007-10-31,48.28,29107710,48.3,48.58,47.33
2007-11-01,45.71,48000490,46.75,47.0,45.48
2007-11-02,45.11,51220570,46.02,46.13,44.22
2007-11-05,44.45,37718240,43.9,45.1,43.27
2007-11-06,45.56,31113760,44.49,45.66,44.49
2007-11-07,43.31,43612310,45.0,45.1,43.25
2007-11-08,43.5,48094330,43.35,44.41,42.02
2007-11-09,43.98,45189000,43.35,45.09,42.59
2007-11-12,43.98,32698450,43.55,45.38,43.55
2007-11-13,46.27,40880740,44.5,46.38,44.18
2007-11-14,45.73,33977980,46.84,46.99,45.32
2007-11-15,44.08,31229250,45.64,45.8,43.8
2007-11-16,44.37,33374880,44.29,44.5,43.48
2007-11-19,42.82,32351170,44.08,44.08,42.78
2007-11-20,42.77,42900700,42.8,43.64,41.73
2007-11-21,42.14,29445290,42.39,43.33,41.92
2007-11-23,43.15,14466290,42.57,43.34,42.41
2007-11-26,41.88,31374460,43.24,43.26,41.82
2007-11-27,42.94,35698650,42.46,43.32,42.01
2007-11-28,44.85,36570000,43.7,45.0,43.0
2007-11-29,44.63,22606070,44.8,44.88,44.02
2007-11-30,46.13,45327280,46.14,46.7,45.6
2007-12-03,45.47,25093060,46.25,46.37,45.31
2007-12-04,44.71,24254940,45.0,45.02,44.47
2007-12-05,45.23,29247610,44.51,45.28,44.35
2007-12-06,45.96,21654720,45.19,45.98,44.92
2007-12-07,45.37,23925830,46.0,46.41,45.33
2007-12-10,46.64,30543780,45.5,46.78,45.41
2007-12-11,44.65,33995380,46.52,47.0,44.5
2007-12-12,43.43,62620860,44.94,45.64,42.51
2007-12-13,43.05,37557580,42.87,43.14,42.01
2007-12-14,42.16,33026110,42.42,43.25,42.11
2007-12-17,41.7,39361380,42.01,42.2,41.26
2007-12-18,41.5,34320080,42.14,42.2,40.78
2007-12-19,41.59,26788530,41.68,42.6,41.48
2007-12-20,41.41,28801280,41.85,42.0,40.83
2007-12-21,41.92,42798150,41.81,42.07,41.07
2007-12-24,42.28,12722060,41.73,42.67,41.73
2007-12-26,42.3,15446130,42.08,42.32,41.75
