date,close,volume,open,high,low
8/24/17,167.74,14015950,168.88,169.29,166.41
8/23/17,168.71,9838383,168.84,169.36,168.2
8/22/17,169.64,11377350,168.28,169.87,167.15
8/21/17,167.78,11898620,167.16,168,165.82
8/18/17,167.41,15065590,166.84,168.67,166.21
8/17/17,166.91,17009420,169.34,169.86,166.85
8/16/17,170,15732840,171.25,171.38,169.24
8/15/17,171,8713651,171.49,171.5,170.01
8/14/17,170.75,12940140,170.09,171.08,169.29
8/11/17,168.08,13778190,167.95,168.82,166.85
8/10/17,167.4,20551720,170.06,170.59,166.85
8/9/17,171.18,10800730,169.98,171.45,169.56
8/8/17,171.23,14317200,171.88,173.05,170.62
8/7/17,171.98,12765230,169.95,172.06,169.66
8/4/17,169.62,10505980,168.97,170.06,168.69
8/3/17,168.59,10519470,169.3,169.7,168.25
8/2/17,169.3,17181110,170.3,170.55,166.91
8/1/17,169.86,14286110,169.82,170.47,169.05
7/31/17,169.25,25429310,172,172.72,168.55
7/28/17,172.45,24546680,169.07,173.43,169.05
7/27/17,170.44,68454830,174.7,175.49,167.5
7/26/17,165.61,32989200,166.01,166.01,164.1
7/25/17,165.28,15309000,165.01,165.54,163.8619
7/24/17,166,17208500,164.64,166.17,164.31
7/21/17,164.43,14712450,164.16,165.05,163.75
7/20/17,164.53,18409730,164.8,165,162.81
7/19/17,164.14,26144510,163.59,165.7,163.17
7/18/17,162.86,23686800,159.66,163.73,159.42
7/17/17,159.73,12757430,160.25,160.78,158.81
7/14/17,159.97,16305570,160.13,160.32,159.3254
7/13/17,159.26,13912150,158.74,159.78,158.4227
7/12/17,158.9,22710090,156.49,159.16,156.2
7/11/17,155.27,13652540,153.37,155.4225,152.91
7/10/17,153.5,13326410,151.69,153.98,151.51
7/7/17,151.44,13249750,149.25,151.99,149.19
7/6/17,148.82,14934450,149.03,150.04,148
7/5/17,150.34,14321330,149,150.85,148.13
7/3/17,148.43,13862740,151.72,152.15,147.8
6/30/17,150.98,14909670,151.9,151.92,150.06
6/29/17,151.04,23948630,152.28,152.5,148.9175
6/28/17,153.24,16696230,150.92,153.47,149.86
6/27/17,150.58,19351560,152.84,153.31,150.39
6/26/17,153.59,18030200,156.25,156.5,153.1954
6/23/17,155.07,17897280,152.72,155.2,152.65
6/22/17,153.4,12835380,153.01,154.55,152.91
6/21/17,153.91,14943770,152.36,154.08,151.88
6/20/17,152.25,14733590,152.88,153.84,152.21
6/19/17,152.87,18944190,151.71,153.57,151.71
6/16/17,150.64,22843010,149.59,150.83,148.6
6/15/17,149.8,18956910,147.67,150.0366,146.3747
