date,close,volume,open,high,low
2007-08-24,24.79,51687850.0,24.19,24.88,24.07
2007-08-27,24.45,45769090.0,24.71,24.71,24.37
2007-08-28,23.96,56168490.0,24.25,24.51,23.93
2007-08-29,25.09,82110120.0,24.29,25.2,24.22
2007-08-30,25.28,68809050.0,24.91,25.62,24.89
2007-08-31,25.75,56838570.0,25.56,25.8,25.53
2007-09-04,26.18,77551980.0,25.82,26.43,25.75
2007-09-05,25.99,59595570.0,25.99,26.2,25.79
2007-09-06,26.15,49491310.0,26.02,26.23,25.88
2007-09-07,25.47,65322360.0,25.69,25.74,25.26
2007-09-10,25.35,107293400.0,25.92,26.22,25.24
2007-09-11,25.66,61720520.0,25.51,25.89,25.26
2007-09-12,25.46,60782910.0,25.51,25.85,25.33
2007-09-13,25.35,64989500.0,25.57,25.64,25.25
2007-09-14,24.93,66555680.0,24.94,25.19,24.6
2007-09-17,24.85,46267860.0,24.87,25.08,24.76
2007-09-18,25.41,72024790.0,24.95,25.49,24.89
2007-09-19,25.68,69106130.0,25.63,25.781,25.43
2007-09-20,25.81,51403540.0,25.51,25.96,25.48
2007-09-21,25.87,70385410.0,26.01,26.05,25.76
2007-09-24,25.98,50279670.0,25.98,26.24,25.82
2007-09-25,25.8901,50174310.0,25.83,26.17,25.76
2007-09-26,25.91,68579300.0,25.98,26.36,25.8
2007-09-27,25.76,47442320.0,26.09,26.1,25.7
2007-09-28,25.86,42901430.0,25.72,27.71,25.67
2007-10-01,26.371,54323530.0,26.04,26.55,25.86
2007-10-02,26.38,45606880.0,26.28,26.58,26.16
2007-10-03,25.81,76074850.0,25.89,26.05,25.57
2007-10-04,25.6,44327870.0,25.8,25.83,25.37
2007-10-05,25.54,72199020.0,25.8,25.94,25.49
2007-10-08,25.66,34544830.0,25.5,25.76,25.47
2007-10-09,25.8399,43635990.0,25.68,25.86,25.55
2007-10-10,25.88,38297690.0,25.88,25.93,25.63
2007-10-11,25.43,89715370.0,25.87,26.18,25.16
2007-10-12,25.55,48635490.0,25.6,25.68,25.33
2007-10-15,25.75,74277830.0,25.64,26.07,25.57
2007-10-16,25.48,105772700.0,25.72,25.98,25.27
2007-10-17,26.72,186888200.0,26.79,26.98,26.25
2007-10-18,26.97,65709050.0,26.51,26.98,26.47
2007-10-19,26.3,80734210.0,26.84,26.85,26.27
2007-10-22,26.64,62788170.0,25.95,26.69,25.85
2007-10-23,26.8,67029100.0,26.62,26.82,26.16
2007-10-24,26.01,89682830.0,26.33,26.39,25.46
2007-10-25,25.89,57435200.0,26.18,26.25,25.53
2007-10-26,25.94,61613000.0,26.26,26.45,25.78
2007-10-29,26.26,53194790.0,26.05,26.35,26.0
2007-10-30,26.27,41432760.0,26.11,26.37,26.1
2007-10-31,26.9,64773530.0,26.37,26.9,26.35
2007-11-01,26.5,86559760.0,26.7,27.08,26.5
2007-11-02,26.8,57928870.0,26.75,26.96,26.4
2007-11-05,26.84,54865480.0,26.58,27.03,26.44
2007-11-06,27.49,69319820.0,26.96,27.52,26.96
2007-11-07,26.9,71443270.0,27.24,27.54,26.87
2007-11-08,25.933000000000003,91356620.0,26.89,26.9699,25.29
2007-11-09,25.15,71669170.0,25.36,25.6482,25.0
2007-11-12,25.29,72908050.0,25.41,25.57,25.1
2007-11-13,26.14,62108220.0,25.59,26.14,25.29
2007-11-14,25.85,63176290.0,26.5,26.52,25.77
2007-11-15,25.53,67001730.0,25.84,26.06,25.28
2007-11-16,25.51,80439950.0,25.53,25.78,25.17
2007-11-19,25.17,52309960.0,25.45,25.6,25.1
2007-11-20,25.52,74677380.0,25.35,25.75,24.91
2007-11-21,24.63,69550590.0,25.23,25.29,24.54
2007-11-23,25.07,36584040.0,24.78,25.1,24.55
2007-11-26,24.3701,53138230.0,25.04,25.3215,24.32
2007-11-27,25.11,62879420.0,24.75,25.16,24.49
2007-11-28,26.19,59647370.0,25.54,26.31,25.5
2007-11-29,26.34,43239070.0,26.07,26.47,26.01
2007-11-30,26.08,65494190.0,26.66,26.66,25.72
2007-12-03,26.25,56067280.0,26.03,26.78,26.01
2007-12-04,26.31,44505350.0,25.84,26.52,25.83
2007-12-05,27.22,68479910.0,26.89,27.46,26.89
2007-12-06,27.98,60492580.0,27.22,27.99,27.17
2007-12-07,27.73,47276100.0,27.77,27.9,27.57
2007-12-10,27.78,45457230.0,27.56,27.88,27.25
2007-12-11,26.93,67405340.0,27.79,27.82,26.91
2007-12-12,27.28,56568830.0,27.43,27.72,26.89
2007-12-13,27.16,53458010.0,26.98,27.5,26.81
2007-12-14,26.29,68731480.0,26.82,26.84,26.19
2007-12-17,25.72,62793900.0,26.23,26.28,25.38
2007-12-18,25.91,44699280.0,25.92,26.14,25.59
2007-12-19,26.19,33544870.0,25.85,26.25,25.82
2007-12-20,26.41,40068570.0,26.53,26.53,26.01
2007-12-21,26.96,58620590.0,26.76,26.9625,26.58
2007-12-24,27.31,22486350.0,26.82,27.37,26.75
2007-12-26,27.45,21277410.0,27.2,27.47,27.13
2007-12-27,26.83,29575930.0,27.36,27.42,26.77
2007-12-28,26.76,34954680.0,27.11,27.27,26.65
2007-12-31,26.66,23317120.0,26.63,27.0,26.59
2008-01-02,25.35,84212950.0,26.28,26.34,24.95
2008-01-03,24.67,85133400.0,25.37,25.4,24.38
2008-01-04,22.67,174015500.0,23.46,23.6,22.35
2008-01-07,22.88,111447000.0,22.8,23.03,22.36
2008-01-08,22.26,80359760.0,22.92,23.13,22.23
2008-01-09,22.75,73226130.0,22.4,22.87,22.26
2008-01-10,22.54,81130830.0,22.57,22.7,22.2
2008-01-11,21.99,75841990.0,22.25,22.36,21.77
2008-01-14,23.08,84877560.0,22.89,23.2,22.41
2008-01-15,22.69,126847700.0,23.0,23.2,22.51
2008-01-16,19.88,309310600.0,20.03,20.39,19.7
2008-01-17,19.33,172145000.0,20.02,20.05,19.21
