date,close,volume,open,high,low
2007-09-04,11.6,11001000,11.5,11.72,11.37
2007-09-05,11.36,14426700,11.47,11.51,11.22
2007-09-06,11.5,15638100,11.37,11.58,11.27
2007-09-07,11.4,21166000,11.28,12.6,11.26
2007-09-10,11.64,18679400,11.59,11.77,11.39
2007-09-11,11.63,9812560,11.7,11.75,11.58
2007-09-12,11.25,16782400,11.52,11.58,11.25
2007-09-13,11.28,11523500,11.31,11.4,11.22
2007-09-14,11.0,15053200,11.2,11.21,10.88
2007-09-17,10.94,18546000,10.97,11.0,10.7
2007-09-18,11.17,16145900,10.97,11.18,10.82
2007-09-19,10.94,20085910,11.2,11.25,10.86
2007-09-20,10.78,17644390,10.89,10.99,10.68
2007-09-21,10.73,15086170,10.89,10.91,10.62
2007-09-24,10.54,14853120,10.71,10.78,10.48
2007-09-25,10.41,21791100,10.5,10.52,10.33
2007-09-26,10.75,21081990,10.47,10.95,10.43
2007-09-27,11.36,27824360,11.01,11.49,11.0
2007-09-28,11.1,16631200,11.31,11.35,11.06
2007-10-01,11.35,18163650,11.26,11.48,11.1
2007-10-02,11.79,30920800,11.54,11.92,11.35
2007-10-03,10.74,61559770,11.12,11.12,10.56
2007-10-04,10.61,27945520,10.84,10.9,10.53
2007-10-05,10.8,21611300,10.75,10.85,10.58
2007-10-08,10.75,8277600,10.78,10.79,10.65
2007-10-09,10.64,12627370,10.75,10.82,10.57
2007-10-10,10.71,13672000,10.68,10.77,10.62
2007-10-11,10.56,21532840,10.72,10.85,10.5
2007-10-12,10.49,15028110,10.58,10.66,10.43
2007-10-15,10.46,12354400,10.54,10.57,10.38
2007-10-16,10.43,15020330,10.43,10.62,10.38
2007-10-17,10.37,20861720,10.7,10.75,10.32
2007-10-18,10.53,14324700,10.35,10.57,10.26
2007-10-19,10.08,27261290,10.44,10.49,10.0
2007-10-22,9.99,17491500,10.0,10.19,9.95
2007-10-23,9.99,15191610,10.04,10.11,9.88
2007-10-24,9.78,25428800,9.91,9.95,9.55
2007-10-25,9.43,16746100,9.74,9.78,9.37
2007-10-26,9.76,27512100,9.69,9.99,9.5
2007-10-29,9.99,14046310,9.8,10.0,9.79
2007-10-30,10.35,32208000,9.88,10.49,9.84
2007-10-31,10.51,15387700,10.38,10.59,10.31
2007-11-01,10.32,18357890,10.47,10.62,10.27
2007-11-02,10.47,15177600,10.4,10.470999999999998,10.01
2007-11-05,10.14,15000610,10.28,10.36,10.0
2007-11-06,9.92,16591100,10.17,10.17,9.71
2007-11-07,9.49,17738660,9.71,9.8,9.47
2007-11-08,9.33,21730980,9.49,9.5,9.06
2007-11-09,9.64,17532460,9.25,9.85,9.11
2007-11-12,9.32,11578490,9.6,9.6213,9.29
2007-11-13,9.42,9205700,9.55,9.55,9.28
2007-11-14,9.35,12132730,9.46,9.55,9.32
2007-11-15,9.24,11324000,9.33,9.44,9.18
2007-11-16,9.15,18074610,9.28,9.34,8.95
2007-11-19,8.84,15812220,9.05,9.19,8.83
2007-11-20,8.53,30920360,8.8,8.92,8.31
2007-11-21,8.08,27607960,8.45,8.45,7.9
2007-11-23,8.37,6028550,8.15,8.42,8.1
2007-11-26,8.02,15012290,8.39,8.4,8.02
