date,close,volume,open,high,low
2007-08-24,13.795,14682430,13.72,13.805,13.65
2007-08-27,13.685,8465660,13.755,13.805,13.665
2007-08-28,13.44,17861860,13.705,13.705,13.43
2007-08-29,13.74,14856936,13.465,13.765,13.445
2007-08-30,13.675,11652928,13.5975,13.77,13.565
2007-08-31,13.775,16067802,13.8,13.89,13.745
2007-09-04,13.86,14384112,13.835,13.945,13.755
2007-09-05,13.72,14069636,13.765,13.85,13.66
2007-09-06,13.79,9986924,13.725,13.86,13.725
2007-09-07,13.58,15172492,13.67,13.735,13.505
2007-09-10,13.52,13307052,13.56,13.67,13.4
2007-09-11,13.665,11241942,13.575,13.735,13.53
2007-09-12,13.665,10660002,13.61,13.7,13.54
2007-09-13,13.74,16451180,13.65,13.85,13.615
2007-09-14,13.82,11803262,13.645,13.875,13.625
2007-09-17,13.65,15155038,13.755,13.755,13.51
2007-09-18,13.915,18119910,13.68,13.99,13.59
2007-09-19,13.89,20991680,13.9,14.095,13.805
2007-09-20,13.745,19386408,13.81,13.975,13.67
2007-09-21,13.735,25051380,13.745,13.95,13.735
2007-09-24,13.575,21623840,13.715,13.78,13.475
2007-09-25,13.545,13664952,13.48,13.6,13.415
2007-09-26,13.845,24102320,13.58,13.91,13.43
2007-09-27,13.485,56372840,13.495,13.575,13.265
2007-09-28,13.1,45294800,13.435,13.45,12.975
2007-10-01,13.1601,21388040,13.135,13.275,13.08
2007-10-02,13.3,18567518,13.135,13.35,13.135
2007-10-03,13.27,12803616,13.185,13.35,13.185
2007-10-04,13.26,12377714,13.245,13.345,13.18
2007-10-05,13.42,16055556,13.355,13.46,13.225
2007-10-08,13.33,13457846,13.34,13.375,13.19
2007-10-09,13.3865,13934376,13.27,13.43,13.19
2007-10-10,13.275,15583554,13.255,13.355,13.22
2007-10-11,13.16,21120720,13.29,13.315,13.09
2007-10-12,13.17,15329674,13.13,13.175,13.04
2007-10-15,13.055,15685570,13.14,13.16,13.0
