date,close,volume,open,high,low
2007-08-24,148.33,128842100,146.48,148.33,146.28
2007-08-27,146.95,112905200,147.85,148.33,146.73
2007-08-28,143.72,219565800,146.16,146.25,143.46
2007-08-29,146.54,207478900,144.37,146.74,143.96
2007-08-30,146.15,191302700,145.45,147.19,145.31
2007-08-31,147.59,185474600,147.65,148.5,146.83
2007-09-04,149.08,119558000,147.45,149.98,147.4
2007-09-05,147.79,166237500,148.2,148.36,147.0
2007-09-06,148.13,127795300,147.95,148.61,147.12
2007-09-07,146.07,235423800,146.48,146.89,145.26
2007-09-10,145.79,192318600,146.52,146.72,144.33
2007-09-11,147.49,161928700,146.24,147.7,146.13
2007-09-12,147.87,149559600,147.29,148.44,146.98
2007-09-13,148.91,153823600,148.55,149.45,148.2
2007-09-14,148.9,121785700,147.96,149.09,147.74
2007-09-17,148.1,109832200,148.31,148.8905,147.63
2007-09-18,152.46,262750300,148.83,152.5,148.1341
2007-09-19,153.36,193698800,153.41,154.39,148.1
2007-09-20,152.28,174834500,153.34,153.43,152.11
2007-09-21,151.97,141458200,152.71,153.1177,151.74
2007-09-24,151.69,137635800,152.42,152.82,151.36
2007-09-25,151.39,142210500,150.81,151.66,150.47
2007-09-26,152.19,131571500,152.25,152.77,151.39
2007-09-27,153.09,102607000,152.91,153.1,152.19
2007-09-28,152.58,133344600,152.85,153.19,151.98
2007-10-01,154.3,146325300,152.6,154.75,152.5
2007-10-02,154.09,112647100,154.61,154.65,153.81
2007-10-03,153.78,117758400,153.81,154.41,153.01
2007-10-04,154.02,76687650,154.11,154.26,153.59
2007-10-05,155.85,134579800,155.03,156.1,154.63
2007-10-08,155.02,71158050,155.39,155.49,154.77
2007-10-09,156.48,93835850,155.6,156.5,155.03
2007-10-10,156.22,101476700,156.04,156.44,155.41
2007-10-11,155.47,233472600,156.93,157.52,154.54
2007-10-12,156.33,124529500,155.46,156.35,155.27
2007-10-15,155.01,161004000,156.27,156.36,153.94
2007-10-16,153.78,166265100,154.41,156.48,153.47
2007-10-17,154.25,216590900,154.98,155.09,152.47
2007-10-18,153.69,148093000,153.45,154.19,153.08
2007-10-19,149.67,296519300,153.09,156.48,149.66
2007-10-22,150.54,261945400,148.86,150.76,148.66
2007-10-23,151.76,179888400,151.46,151.95,150.25
2007-10-24,151.48,326222000,151.21,151.74,148.0
2007-10-25,151.84,237107100,151.65,152.29,149.88
2007-10-26,153.62,176283400,153.06,153.62,151.9
