date,close,volume,open,high,low
2010-06-29,23.89,18751150,19.0,25.0,17.54
2010-06-30,23.83,17165210,25.79,30.4192,23.3
2010-07-01,21.96,8216789,25.0,25.92,20.27
2010-07-02,19.2,5135795,23.0,23.1,18.71
2010-07-06,16.11,6858092,20.0,20.0,15.83
2010-07-07,15.8,6910699,16.4,16.63,14.98
2010-07-08,17.46,7710937,16.14,17.52,15.57
2010-07-09,17.4,4048537,17.58,17.9,16.55
2010-07-12,17.05,2198870,17.95,18.07,17.0
2010-07-13,18.14,2675060,17.394000000000002,18.64,16.9
2010-07-14,19.84,4193210,17.94,20.15,17.7601
2010-07-15,19.89,3741526,19.94,21.5,19.0
2010-07-16,20.64,2620110,20.7,21.3,20.05
2010-07-19,21.91,2482680,21.37,22.25,20.92
2010-07-20,20.3,1824154,21.85,21.85,20.05
2010-07-21,20.22,1251492,20.66,20.9,19.5
2010-07-22,21.0,957271,20.5,21.25,20.37
2010-07-23,21.29,653549,21.19,21.56,21.06
2010-07-26,20.95,922178,21.5,21.5,20.3
2010-07-27,20.55,619675,20.91,21.18,20.26
2010-07-28,20.72,467183,20.55,20.9,20.51
2010-07-29,20.35,615910,20.77,20.88,20.0
2010-07-30,19.94,426830,20.2,20.44,19.55
2010-08-02,20.92,718245,20.5,20.97,20.333
2010-08-03,21.95,1230349,21.0,21.95,20.82
2010-08-04,21.26,912526,21.95,22.18,20.85
2010-08-05,20.45,796180,21.54,21.55,20.05
2010-08-06,19.59,741838,20.1,20.1601,19.52
2010-08-09,19.6,812656,19.9,19.98,19.45
2010-08-10,19.03,1281286,19.65,19.65,18.82
2010-08-11,17.9,795712,18.69,18.88,17.85
2010-08-12,17.6,690241,17.8,17.9,17.39
2010-08-13,18.32,633871,18.18,18.45,17.6604
2010-08-16,18.78,485711,18.45,18.8,18.2616
2010-08-17,19.15,447881,18.96,19.4,18.78
2010-08-18,18.77,599732,19.59,19.59,18.6
2010-08-19,18.79,579082,18.54,19.25,18.33
2010-08-20,19.1,295599,18.65,19.11,18.5101
2010-08-23,20.13,1088029,19.09,20.3891,19.0
2010-08-24,19.2,672974,19.25,19.71,18.95
2010-08-25,19.9,503289,19.16,19.98,18.56
2010-08-26,19.75,433286,19.89,20.27,19.6
2010-08-27,19.7,379542,19.75,19.865,19.5
2010-08-30,19.87,732631,19.7,20.19,19.61
2010-08-31,19.48,201012,19.66,19.79,19.33
2010-09-01,20.45,494885,19.62,20.69,19.6
2010-09-02,21.06,487060,20.37,21.24,20.3103
2010-09-03,21.05,434556,20.87,21.3,20.66
2010-09-07,20.54,243335,20.61,21.0,20.5
2010-09-08,20.9,288382,20.66,20.95,20.6
2010-09-09,20.71,376197,21.0,21.05,20.69
2010-09-10,20.17,386571,20.75,20.93,19.76
2010-09-13,20.72,360703,20.89,20.8995,20.5
2010-09-14,21.12,654629,20.54,21.6,20.53
2010-09-15,21.98,684558,20.98,22.0,20.79
2010-09-16,20.94,2684080,22.15,23.16,20.84
2010-09-17,20.23,1198458,21.02,21.32,19.8
2010-09-20,21.055,947475,20.67,21.35,20.16
2010-09-21,20.77,796000,20.89,21.55,20.67
2010-09-22,19.87,962816,20.87,20.95,19.8
2010-09-23,19.56,668076,19.89,20.14,19.5
2010-09-24,20.1,578887,19.95,20.19,19.65
2010-09-27,20.53,416297,20.4,20.81,20.05
2010-09-28,21.4,1214465,21.04,21.49,20.76
2010-09-29,21.98,1969097,21.19,22.03,21.13
2010-09-30,20.405,2077537,22.0,22.1499,20.19
2010-10-01,20.6,597641,20.69,20.75,20.31
2010-10-04,20.99,643599,20.43,21.17,20.3
2010-10-05,21.12,331936,21.15,21.28,21.01
2010-10-06,20.46,313357,21.06,21.258000000000006,20.32
2010-10-07,20.43,140920,20.57,20.64,20.34
2010-10-08,20.43,266399,20.43,20.79,20.39
2010-10-11,20.24,170994,20.44,20.699,20.07
2010-10-12,20.24,243912,20.2,20.2829,20.03
2010-10-13,20.54,315259,20.64,20.85,20.36
2010-10-14,20.75,294620,21.0,21.0299,20.4
2010-10-15,20.54,284645,20.89,20.9,20.25
2010-10-18,20.23,162729,20.52,20.6399,20.22
2010-10-19,20.05,245127,20.2,20.4061,20.0
2010-10-20,20.65,312444,20.16,20.69,20.04
2010-10-21,20.75,416599,20.61,20.95,20.45
